time,utc_time,device_id,label,lat,lon,alt,speed,hdop,sats,course,fix,accel_x,accel_y,accel_z,roll,pitch,magnitude,previous_mag,jerk
248,105442.000,A,0,58.38093,8.67634,32.8,0.58,1.01,8,275.63,1,-0.5787354,0.8414307,-0.04187012,94.138,-55.42457,1.022102,1.022102,0
251,105443.000,A,0,58.38093,8.676332,31.2,0.49,1.01,8,251.56,1,-0.5761719,0.8409424,-0.04150391,94.12012,-55.51383,1.020236,1.020236,-0.0006222327
254,105443.000,A,0,58.38093,8.676332,31.2,0.41,1.01,8,268.4,1,-0.5773926,0.8406982,-0.04174805,94.13554,-55.44893,1.020734,1.020734,0.0001662175
257,105443.000,A,0,58.38093,8.676332,31.2,0.41,1.01,8,268.4,1,-0.5784912,0.8408203,-0.04309082,94.00695,-55.67691,1.021512,1.021512,0.0002593597
260,105445.000,A,0,58.38092,8.676311,27.9,0.68,0.9,9,268.4,1,-0.5786133,0.8435059,-0.04431152,94.70361,-55.51511,1.023845,1.023845,0.0007776022
263,105446.000,A,0,58.38092,8.676303,27.6,0.4,0.9,9,246.67,1,-0.5783691,0.8428955,-0.04162598,94.11654,-55.47419,1.023092,1.023092,-0.0002512137
266,105447.000,A,0,58.38093,8.676298,27.4,0.27,0.9,9,318.84,1,-0.5783691,0.8389893,-0.04345703,94.69357,-55.45191,1.019952,1.019952,-0.001046499
269,105447.000,A,0,58.38093,8.676298,27.4,0.27,0.9,9,318.84,1,-0.5795898,0.8417969,-0.04125977,94.07189,-55.19443,1.022863,1.022863,0.0009703238
272,105504.000,A,0,58.381,8.676295,45.5,0.0,0.9,9,54.37,1,-0.5738525,0.8442383,-0.04650879,94.63349,-55.7077,1.021865,1.021865,-0.0003326734
275,105505.000,A,0,58.381,8.676295,45.5,0.0,0.9,9,54.37,1,-0.5775146,0.8389893,-0.04455566,94.41167,-55.37914,1.019515,1.019515,-0.0007832448
278,105505.000,A,0,58.381,8.676295,45.5,0.0,0.9,9,54.37,1,-0.5782471,0.8432617,-0.04321289,94.27382,-55.70343,1.02339,1.02339,0.001291593
281,105506.000,A,0,58.381,8.676295,45.5,0.0,0.9,9,54.37,1,-0.5786133,0.8394775,-0.04309082,94.2591,-55.61754,1.020477,1.020477,-0.001456678
284,105507.000,A,0,58.381,8.676295,45.5,0.0,0.9,9,54.37,1,-0.5802002,0.8441162,-0.04370117,94.31829,-55.39986,1.025219,1.025219,0.001580795
