Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
285,190526,185550.000,0,58.37861,8.678916,61.6,0.0,2.19,4,128.26,1,0.312755,9.675190,0.001412,0.040969,0.037074,0.000078,0.001369,0.000337,0.000950,0.000004,24.000001
299,190526,185611.000,0,58.37861,8.678888,62.7,1.88,2.19,4,128.26,1,0.295989,9.645433,0.001247,0.060792,0.041487,-0.000570,0.000201,-0.001090,0.001258,0.000007,25.000000
306,190526,185612.000,0,58.37862,8.678895,62.5,1.81,2.19,4,15.1,1,0.295412,9.625698,0.005149,0.109074,0.036085,0.001431,-0.004921,-0.000497,0.001151,0.000006,24.000001
320,190526,185633.000,0,58.37858,8.678809,60.1,0.0,2.19,4,106.79,1,0.281012,9.614561,0.002118,0.101104,0.053404,-0.000484,0.002042,-0.000287,0.001417,0.000011,20.000000
328,190526,185634.000,0,58.37858,8.678815,59.9,0.0,2.19,4,181.85,1,0.278159,9.604260,0.002059,0.084240,0.050401,0.001242,-0.001333,0.000960,0.001285,0.000009,23.000000
335,190526,185654.000,0,58.37862,8.678824,57.8,0.0,2.2,4,181.85,1,0.271989,9.600054,0.005318,0.069016,0.043101,0.001088,-0.004893,0.001776,0.001327,0.000009,25.000000
343,190526,185655.000,0,58.37862,8.678824,57.7,0.0,2.2,4,330.52,1,0.264253,9.604929,0.001845,0.131318,0.051860,-0.000730,0.000370,0.001654,0.001442,0.000009,23.000000
350,190526,185656.000,0,58.37862,8.678832,57.6,0.0,2.2,4,147.34,1,0.280186,9.613720,0.002150,0.074509,0.054502,0.000427,0.001928,0.000850,0.001372,0.000010,21.000001
358,190526,185716.000,0,58.37859,8.678833,55.9,0.0,2.2,4,200.8,1,0.281398,9.615369,0.002192,0.114741,0.041249,0.000367,-0.001867,-0.001088,0.001159,0.000006,29.000001
365,190526,185717.000,0,58.37859,8.678833,55.9,0.0,2.2,4,200.8,1,0.284922,9.622934,0.001603,0.066020,0.032884,0.000904,-0.001322,0.000052,0.000896,0.000004,26.000001
373,190526,185718.000,0,58.37859,8.678833,55.9,0.0,2.2,4,200.8,1,0.275641,9.614543,0.003999,0.142348,0.036540,0.000394,-0.003970,0.000285,0.000905,0.000005,26.000001
380,190526,185738.000,0,58.37858,8.678857,47.7,2.17,2.2,4,232.43,1,0.271876,9.619285,0.001515,0.052972,0.037962,-0.000625,0.001348,-0.000294,0.000850,0.000006,20.000000
388,190526,185739.000,0,58.37856,8.678864,47.6,2.22,2.21,4,140.67,1,0.267131,9.621880,0.001336,0.032058,0.037145,0.000542,0.000944,-0.000774,0.001172,0.000006,20.000000
408,190526,185800.000,0,58.37852,8.678915,46.1,1.81496,2.21,4,294.05,1,0.253712,9.622231,0.002733,0.060918,0.047288,0.001052,-0.002494,0.000378,0.001333,0.000008,23.000000
416,190526,185801.000,0,58.37852,8.67891,46.1,1.82,2.21,4,294.05,1,0.234596,9.633656,0.001525,0.050539,0.047031,0.000052,0.000519,0.001433,0.001191,0.000008,26.000001
424,190526,185821.000,0,58.37852,8.678885,46.0,0.0,2.16,5,269.67,1,0.234504,9.615939,0.004720,0.108355,0.044141,0.002172,0.004060,0.001041,0.001384,0.000009,30.000000
431,190526,185822.000,0,58.37852,8.678885,46.0,0.0,2.16,5,269.67,1,0.245244,9.606541,0.003444,0.106899,0.043084,0.001153,-0.002705,-0.001794,0.001383,0.000008,31.000001
439,190526,185841.000,0,58.37855,8.678866,40.5,0.0,2.16,5,177.45,1,0.227679,9.578157,0.001784,0.136765,0.058519,0.000142,0.001740,0.000365,0.002035,0.000012,34.000001
446,190526,185842.000,0,58.37855,8.678866,40.5,0.0,2.16,5,177.45,1,0.235212,9.590353,0.001104,0.035675,0.060457,-0.000547,0.000632,0.000721,0.002140,0.000013,28.000000
454,190526,185843.000,0,58.37855,8.678866,40.5,0.0,2.16,5,177.45,1,0.242239,9.587906,0.002291,0.043751,0.040991,0.000970,-0.001802,-0.001029,0.001345,0.000007,25.000000
