Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
39,190526,191800.000,0,58.38034,8.676707,52.1,2.84,1.33,6,349.48,1,-21.513898,8.583338,0.001885,0.087263,0.099489,0.001297,0.001365,-0.000100,0.002995,0.000032,23.000000
47,190526,191817.000,0,58.38038,8.676684,43.7,2.42,1.39,5,353.03,1,-21.424987,8.602738,0.020612,0.152627,0.173999,-0.011990,-0.003294,-0.016440,0.006340,0.000085,22.000000
54,190526,191818.000,0,58.38039,8.676694,43.2,2.63,1.39,5,15.62,1,-19.194504,6.880425,0.206973,4.398352,2.601085,0.191391,-0.066617,-0.042065,0.295222,0.133448,22.000000
68,190526,191836.000,0,58.38038,8.67676,34.3,2.88,1.39,5,38.53,1,-6.567164,2.746600,0.115276,0.190681,0.540274,0.032780,0.109529,0.014744,0.055648,0.037700,0.000000
89,190526,191855.000,0,58.38031,8.67673,29.8,2.2,1.34,6,93.7,1,-1.558560,1.250032,0.013203,0.123879,0.159144,0.006489,0.011294,0.002158,0.009843,0.001091,0.000000
96,190526,191856.000,0,58.38031,8.676731,29.7,5.25,1.34,6,197.71,1,-1.133646,1.109353,0.009701,0.076259,0.048147,0.003330,0.009058,0.000986,0.005596,0.000316,2.000000
110,190526,191915.000,0,58.38007,8.676608,25.0,5.24,3.42,4,197.71,1,-0.745373,1.012889,0.003672,0.028989,0.039683,0.000583,0.003552,0.000725,0.001748,0.000033,16.000000
118,190526,191916.000,0,58.38014,8.676679,24.6,3.1,7.0,3,293.77,1,-0.677970,1.001993,0.001171,0.072390,0.040238,0.000508,-0.001045,0.000146,0.001342,0.000015,25.000000
125,190526,191934.000,0,58.38024,8.676721,21.8,3.1,1.62,5,293.77,1,-0.638005,1.013677,0.003610,0.142409,0.055132,0.001857,-0.001222,0.002845,0.001262,0.000012,24.000001
133,190526,191935.000,0,58.38026,8.67673,21.8,3.24,1.62,5,293.77,1,-0.609607,0.982623,0.001404,0.127744,0.058312,0.000562,-0.000754,0.001043,0.001657,0.000016,22.000000
140,190526,191936.000,0,58.38026,8.676721,21.7,0.0,1.62,5,240.88,1,-0.600723,0.959937,0.001584,0.110971,0.045008,0.000176,0.000441,0.001511,0.001664,0.000016,26.000001
148,190526,191954.000,0,58.38032,8.676728,23.2,0.0,1.34,6,240.88,1,-0.598258,0.940763,0.001640,0.055824,0.043480,0.001413,0.000510,0.000658,0.001135,0.000009,24.000001
155,190526,192013.000,0,58.38024,8.67677,24.8,1.47,1.34,6,219.74,1,-0.609132,0.942590,0.003879,0.064295,0.053486,-0.001197,-0.000328,-0.003676,0.001377,0.000013,25.000000
169,190526,192014.000,0,58.38024,8.67677,24.8,1.52,1.34,6,210.1,1,-0.597752,0.944246,0.004547,0.164265,0.047025,0.002618,-0.000935,0.003598,0.001044,0.000008,21.000001
177,190526,192033.000,0,58.38026,8.676777,27.0,0.0,1.34,6,210.1,1,-0.591860,0.962764,0.001269,0.074922,0.053031,0.000191,0.001241,-0.000180,0.001252,0.000010,28.000000
185,190526,192034.000,0,58.38026,8.67677,27.1,0.0,1.34,6,204.69,1,-0.602130,0.959199,0.003353,0.089815,0.069711,0.001143,-0.002219,0.002239,0.001531,0.000013,34.000001
198,190526,192053.000,0,58.38026,8.676725,33.9,0.0,1.34,6,204.69,1,-0.577722,0.973202,0.004460,0.078279,0.058088,-0.000925,0.003342,0.002806,0.001607,0.000012,24.000001
206,190526,192054.000,0,58.38026,8.676726,33.9,2.04,1.34,6,114.57,1,-0.592309,0.979807,0.002347,0.043789,0.047286,0.000394,0.001389,0.001851,0.001469,0.000010,22.000000
220,190526,192113.000,0,58.3803,8.676805,40.9,2.06,1.34,6,181.07,1,-0.559552,0.999237,0.003086,0.103994,0.052817,0.001408,-0.002022,-0.001857,0.001369,0.000012,22.000000
227,190526,192114.000,0,58.38029,8.676793,41.2,2.06,1.34,6,197.88,1,-0.548812,1.003413,0.002670,0.094722,0.056904,-0.000477,0.000475,-0.002583,0.001300,0.000013,23.000000
248,190526,192134.000,0,58.38023,8.676737,42.7,2.56,1.92,5,305.49,1,-0.545742,0.973774,0.001875,0.062068,0.052966,0.000380,-0.001027,-0.001522,0.001581,0.000011,29.000001
255,190526,192153.000,0,58.38026,8.67674,44.8,2.46,2.66,4,212.95,1,-0.529276,0.954357,0.001604,0.091722,0.065415,0.000785,0.000523,-0.001297,0.001882,0.000014,31.000001
263,190526,192154.000,0,58.38023,8.676742,44.9,2.68,1.93,5,191.53,1,-0.544151,0.935566,0.001670,0.036370,0.059566,0.000092,0.001270,-0.001080,0.001572,0.000012,30.000000
271,190526,192155.000,0,58.38022,8.676737,45.0,3.06,1.35,6,191.04,1,-0.534703,0.951988,0.005713,0.138940,0.052307,-0.002589,0.002985,0.004126,0.001413,0.000012,22.000000
284,190526,192214.000,0,58.38016,8.676833,44.0,5.4,1.94,5,127.81,1,-0.529742,0.958256,0.006846,0.077134,0.063044,-0.001342,0.001210,0.006603,0.001599,0.000015,26.000001
292,190526,192215.000,0,58.38014,8.676848,43.7,5.65,2.67,4,125.24,1,-0.539974,0.951659,0.003127,0.118882,0.050805,0.002487,-0.001221,0.001448,0.001343,0.000011,28.000000
300,190526,192234.000,0,58.38016,8.676795,37.6,4.69,2.68,4,327.85,1,-0.543302,0.964176,0.002279,0.132715,0.047348,-0.000954,0.001402,0.001523,0.001116,0.000009,28.000000
320,190526,192236.000,0,58.38009,8.676786,38.1,4.14,1.65,4,197.77,1,-0.505009,0.992105,0.002618,0.089863,0.055379,-0.001449,-0.001833,0.001180,0.001522,0.000012,24.000001
327,190526,192255.000,0,58.38031,8.676707,44.2,3.47,1.62,5,334.89,1,-0.511275,0.993327,0.001570,0.030487,0.058072,-0.000199,0.000600,0.001437,0.001526,0.000011,26.000001
341,190526,192314.000,0,58.38041,8.676768,45.7,2.0,1.62,5,55.98,1,-0.529640,0.975549,0.003051,0.102782,0.065658,-0.001291,-0.002524,-0.001127,0.001565,0.000013,25.000000
349,190526,192315.000,0,58.38041,8.676773,46.0,2.55,1.62,5,55.98,1,-0.540458,0.973704,0.004528,0.071597,0.067446,0.003499,0.001849,0.002201,0.001640,0.000013,29.000001
356,190526,192334.000,0,58.38031,8.676818,47.7,2.91,1.6,5,27.94,1,-0.547609,0.965644,0.002274,0.152317,0.067549,-0.000583,0.002198,-0.000007,0.001733,0.000015,30.000000
364,190526,192335.000,0,58.38031,8.676822,47.7,2.21,1.6,5,319.7,1,-0.528851,0.950577,0.001749,0.036226,0.070626,0.001366,0.000048,0.001091,0.001730,0.000016,30.000000
384,190526,192355.000,0,58.38041,8.676885,46.7,1.67,1.61,5,132.98,1,-0.538804,0.926502,0.003498,0.071076,0.069368,-0.001444,-0.001407,-0.002859,0.001709,0.000014,21.000001
392,190526,192356.000,0,58.38041,8.676907,46.6,2.09,1.61,5,109.31,1,-0.526375,0.926623,0.003149,0.083074,0.057119,0.003129,-0.000127,0.000326,0.001456,0.000012,26.000001
412,190526,192416.000,0,58.38041,8.676721,45.9,2.00016,1.61,5,237.11,1,-0.526889,0.944454,0.002577,0.059152,0.053545,0.000183,0.000636,0.002491,0.001360,0.000012,28.000000
420,190526,192435.000,0,58.38037,8.676746,46.6,1.56,1.99,5,237.11,1,-0.526355,0.942526,0.002185,0.023227,0.050835,0.000557,-0.000395,-0.002076,0.001165,0.000009,26.000001
427,190526,192436.000,0,58.38037,8.676737,46.4,1.72,1.99,5,336.63,1,-0.509448,0.947812,0.002756,0.159984,0.060697,0.000957,0.001910,0.001741,0.001471,0.000011,27.000000
441,190526,192455.000,0,58.38031,8.676742,45.7,6.99,2.14,4,336.63,1,-0.497330,0.966407,0.002230,0.049887,0.056606,-0.000787,0.000115,0.002084,0.001239,0.000010,27.000000
449,190526,192456.000,0,58.38033,8.676744,45.8,7.58,2.14,4,2.0,1,-0.502855,0.972362,0.003008,0.047796,0.060822,0.000062,0.001316,0.002704,0.001274,0.000010,21.000001
457,190526,192515.000,0,58.38038,8.676762,47.9,1.97,2.15,4,2.0,1,-0.512304,0.977390,0.003896,0.148960,0.050751,-0.000305,-0.003082,-0.002364,0.000938,0.000008,20.000000
464,190526,192516.000,0,58.38037,8.676752,47.7,1.79,2.15,4,239.66,1,-0.510312,0.974351,0.003617,0.041450,0.055346,0.001166,0.003262,0.001041,0.001345,0.000010,22.000000
484,190526,192536.000,0,58.38029,8.676717,46.8,2.04,2.16,4,134.61,1,-0.519525,0.989613,0.002704,0.076546,0.067494,0.000946,0.002325,0.001006,0.001714,0.000014,26.000001
492,190526,192537.000,0,58.3803,8.676722,46.8,2.12,2.16,4,79.34,1,-0.515465,0.996647,0.002699,0.082854,0.051928,0.000539,-0.002162,-0.001524,0.001395,0.000010,27.000000
499,190526,192556.000,0,58.38017,8.676775,46.6,3.11,2.17,4,56.44,1,-0.519649,0.996828,0.001918,0.107738,0.058797,-0.001354,-0.000472,0.001274,0.001824,0.000015,29.000001
507,190526,192557.000,0,58.38016,8.676778,46.8,2.68,2.17,4,165.03,1,-0.528516,0.989104,0.000930,0.056223,0.059107,-0.000403,-0.000202,0.000813,0.001873,0.000016,26.000001
527,190526,192617.000,0,58.38026,8.676806,47.7,2.45,2.18,4,14.02,1,-1.181603,1.801741,0.061848,0.240612,0.556540,-0.002431,0.051632,-0.033962,0.055214,0.004773,19.000000
535,190526,192618.000,0,58.3803,8.676825,47.7,3.12,2.18,4,14.02,1,-1.434158,0.231931,0.092896,0.415058,1.189265,0.023587,-0.089731,-0.004660,0.065846,0.015796,19.000000
542,190526,192637.000,0,58.38015,8.676699,49.3,7.64,3.71,4,14.02,1,-2.137101,-0.815385,0.132594,0.699996,0.377239,0.105146,0.037810,-0.071385,0.034872,0.010661,15.000000
550,190526,192638.000,0,58.38017,8.676683,49.5,7.98,5.99,3,231.73,1,-2.236882,-0.237338,0.109127,1.545185,0.725192,-0.096332,-0.043736,-0.026761,0.041902,0.010639,8.000000
564,190526,192657.000,0,58.38008,8.675814,51.5,12.55,2.19,4,231.73,1,1.922769,-4.836935,0.148477,0.532270,0.941939,-0.037559,0.142550,-0.017726,0.039722,0.020140,23.000000
572,190526,192658.000,0,58.38004,8.675768,51.5,14.02,1.64,5,222.4,1,-2.564058,0.160159,0.019379,0.568619,0.633271,-0.004468,-0.009421,0.016334,0.105336,0.045064,21.000001
585,190526,192717.000,0,58.37902,8.674686,53.5,40.91,1.41,5,197.98,1,1.495948,-1.019425,0.040106,1.200312,0.723060,0.003997,0.039705,-0.004008,0.025964,0.006128,22.000000
593,190526,192718.000,0,58.37893,8.674597,53.6,41.97,1.41,5,201.6,1,0.977292,-1.110744,0.045350,1.513246,0.804558,-0.024368,-0.038235,0.000949,0.023386,0.004231,21.000001
601,190526,192739.000,0,58.37667,8.673671,49.1,41.97,2.74,3,201.6,1,1.384766,-2.014054,0.049869,1.055076,0.943707,-0.019564,0.041101,-0.020369,0.025267,0.003954,23.000000
608,190526,192740.000,0,58.3766,8.673672,48.6,20.58,2.74,3,201.6,1,2.760921,-1.422048,0.076416,0.541464,1.162181,-0.073632,0.019971,-0.004353,0.029315,0.005312,25.000000
616,190526,192741.000,0,58.37646,8.673869,53.0,50.83,2.21,4,201.6,1,3.490540,-2.672217,0.061347,1.927667,1.089147,0.029052,-0.037597,-0.038805,0.041304,0.008881,25.000000
636,190526,192801.000,0,58.37473,8.672551,50.5,34.07,2.74,3,221.31,1,3.803009,-3.582102,0.127061,0.689294,0.837850,0.126008,-0.015465,-0.005227,0.054191,0.009404,25.000000
644,190526,192820.000,0,58.3724,8.670847,43.3,14.76,2.23,4,213.55,1,2.123202,-7.437304,0.038862,1.058079,0.844585,0.015115,-0.023215,-0.027256,0.052267,0.020482,29.000001
664,190526,192840.000,0,58.37309,8.667405,41.6,35.28,2.48,5,209.4,1,-0.825901,-1.419109,0.093869,0.776761,1.093977,-0.088186,-0.029208,-0.013473,0.032443,0.016691,20.000000
671,190526,192841.000,0,58.37316,8.667249,41.5,37.78,1.91,4,309.65,1,-1.628665,2.577598,0.033840,1.201260,0.950999,-0.027670,-0.018864,0.004870,0.046102,0.019438,23.000000
679,190526,192842.000,0,58.37324,8.667116,41.5,36.73,1.91,4,311.94,1,-1.404627,-2.650736,0.101700,2.189781,0.996678,0.068554,-0.052272,-0.053954,0.061875,0.025360,27.000000
687,190526,192900.000,0,58.37335,8.66332,45.7,50.95,2.75,3,311.94,1,-2.204442,-1.612725,0.058625,0.685527,1.032749,0.038105,-0.008366,0.043760,0.072313,0.019581,26.000001
694,190526,192901.000,0,58.37333,8.663074,46.0,53.14,2.76,3,311.94,1,-0.919765,-0.977439,0.065374,2.517707,1.107579,0.048436,0.031650,-0.030431,0.035258,0.007273,26.000001
714,190526,192921.000,0,58.37314,8.658212,53.9,53.08,2.11,5,253.25,1,-0.105164,-0.537152,0.074425,2.643274,1.091058,0.020216,0.063162,0.033776,0.027465,0.005128,21.000001
722,190526,192940.000,0,58.37161,8.653668,62.2,57.37,1.41,5,229.57,1,-0.514602,-0.164466,0.044064,0.722376,1.145964,-0.009288,-0.042592,-0.006429,0.026879,0.004419,21.000001
742,190526,193000.000,0,58.37045,8.648987,67.9,50.62,1.38,6,268.09,1,0.496708,-2.413622,0.059326,1.601206,0.843483,0.029982,0.033429,-0.038770,0.041733,0.012488,24.000001
750,190526,193001.000,0,58.37044,8.648749,68.3,51.7,1.38,6,269.58,1,0.922294,-1.515235,0.063933,1.502773,0.724372,0.013560,0.053838,0.031702,0.032634,0.005337,22.000000
757,190526,193002.000,0,58.37044,8.648514,68.6,52.14,1.4,6,268.02,1,0.892741,-0.688390,0.065557,1.238631,1.156219,-0.046952,-0.029224,-0.035202,0.030732,0.004027,22.000000
765,190526,193020.000,0,58.36968,8.64412,75.0,54.14,1.68,5,256.99,1,1.057629,-0.424796,0.093798,2.291070,1.132307,0.027405,0.045518,-0.077299,0.030949,0.004281,22.000000
772,190526,193021.000,0,58.36964,8.643855,75.3,55.98,1.68,5,256.27,1,1.583383,-0.071926,0.097833,2.700074,1.102651,0.051108,-0.056041,-0.061796,0.027460,0.005963,25.000000
786,190526,193040.000,0,58.36897,8.63878,76.9,57.05,2.6,4,87.0,1,1.849957,-1.162160,0.061016,2.045320,0.924983,-0.033326,0.038602,0.033499,0.027072,0.004307,24.000001
794,190526,193041.000,0,58.36894,8.638521,77.0,56.6,2.6,4,257.58,1,1.772444,-0.944249,0.080151,0.748651,0.853065,0.021218,0.057590,-0.051550,0.021288,0.003053,19.000000
814,190526,193101.000,0,58.3689,8.633091,78.2,52.80052,1.38,6,264.8,1,4.078260,-1.701401,0.024465,0.893618,0.810644,-0.012524,-0.004199,0.020593,0.027100,0.004472,24.000001
822,190526,193102.000,0,58.36886,8.632827,78.1,39.41056,1.41,6,249.68,1,1.617173,-0.740663,0.066457,1.470469,1.223151,-0.052420,-0.012241,0.038972,0.053772,0.011123,27.000000
829,190526,193120.000,0,58.36827,8.629345,77.7,39.41056,1.78,5,249.68,1,1.475908,-0.624055,0.063765,1.006016,1.099990,-0.032763,0.050838,-0.020202,0.030919,0.007693,22.000000
837,190526,193121.000,0,58.36823,8.629156,77.6,40.41,1.69,5,249.68,1,3.158768,-1.063147,0.074363,1.867257,0.869437,0.029639,0.068095,-0.003813,0.028943,0.006414,22.000000
845,190526,193122.000,0,58.36818,8.628948,77.5,43.36,1.69,5,251.19,1,6.159101,-1.781999,0.172273,1.105458,1.113470,0.096072,0.138594,-0.035213,0.038476,0.012584,24.000001
852,190526,193140.000,0,58.36809,8.625027,74.0,45.86,2.44,5,251.19,1,2.442669,-3.461751,0.043905,1.268152,0.961085,-0.006812,-0.033326,-0.027760,0.048292,0.024178,22.000000
860,190526,193141.000,0,58.36812,8.624813,73.9,44.55,1.72,5,287.51,1,4.590662,-3.377405,0.058997,0.359598,0.550956,-0.053618,0.024523,-0.002108,0.046757,0.012068,22.000000
867,190526,193159.000,0,58.36878,8.624057,68.5,12.53,2.18,5,51.04,1,3.901905,-2.130879,0.037436,0.217847,0.471666,-0.030125,-0.021864,-0.003988,0.026482,0.004177,11.000000
875,190526,193200.000,0,58.36877,8.624094,68.1,7.5,2.39,5,75.63,1,3.289966,-1.441825,0.020653,0.072051,0.076469,-0.014345,-0.014749,-0.001804,0.009945,0.001217,17.000000
889,190526,193219.000,0,58.36883,8.624032,64.8,0.0,2.21,4,242.09,1,2.793062,-0.858868,0.008739,0.168317,0.070642,-0.006207,-0.003986,0.004685,0.003626,0.000120,27.000000
896,190526,193220.000,0,58.36883,8.624029,64.8,0.0,2.21,4,242.09,1,2.697872,-0.761874,0.003497,0.153317,0.061711,-0.002030,-0.002187,0.001823,0.002662,0.000044,25.000000
910,190526,193239.000,0,58.36879,8.624039,64.6,0.0,2.22,4,3.95,1,2.585137,-0.681693,0.003428,0.099130,0.032951,-0.003284,0.000512,-0.000838,0.001070,0.000008,24.000001
918,190526,193240.000,0,58.3688,8.62404,64.5,0.0,2.2,5,3.95,1,2.568299,-0.654961,0.003780,0.094536,0.048303,-0.003564,0.001244,0.000199,0.001471,0.000009,18.000001
932,190526,193259.000,0,58.36873,8.624133,65.2,0.47,2.21,5,3.95,1,2.528042,-0.632036,0.006436,0.086847,0.066042,0.000443,0.002706,0.005822,0.002351,0.000026,21.000001
946,190526,193317.000,0,58.3687,8.624097,64.6,0.0,1.39,6,3.95,1,2.470717,-0.644148,0.005334,0.082078,0.069730,-0.004468,-0.002899,0.000290,0.002296,0.000021,21.000001
953,190526,193318.000,0,58.3687,8.624091,64.5,0.0,2.22,5,3.95,1,2.451202,-0.640447,0.003530,0.106600,0.057125,0.000716,-0.003317,0.000972,0.001839,0.000015,24.000001
967,190526,193337.000,0,58.36883,8.624115,63.0,0.0,2.23,5,343.64,1,2.461760,-0.657219,0.003044,0.045932,0.061086,0.001296,0.002676,-0.000651,0.001841,0.000017,26.000001
975,190526,193338.000,0,58.36883,8.624115,63.0,0.0,2.23,5,343.64,1,2.462617,-0.661423,0.001944,0.078559,0.068541,-0.001338,0.001081,-0.000905,0.001725,0.000013,28.000000
989,190526,193357.000,0,58.36883,8.624042,61.4,0.0,2.26,4,343.64,1,2.446455,-0.665540,0.002946,0.069963,0.058188,0.000811,0.000348,-0.002810,0.001786,0.000016,23.000000
1003,190526,193416.000,0,58.36883,8.624075,60.8,3.58,2.45,3,343.64,1,2.484002,-0.659728,0.001507,0.175559,0.074166,-0.001449,0.000396,0.000120,0.002633,0.000021,24.000001
1010,190526,193417.000,0,58.36882,8.624073,60.7,2.25,2.46,3,343.64,1,2.474249,-0.660284,0.000771,0.127928,0.052960,0.000740,0.000205,0.000062,0.001648,0.000010,22.000000
1024,190526,193436.000,0,58.36875,8.624088,60.0,0.0,2.26,5,39.79,1,2.474418,-0.673240,0.002856,0.070189,0.060592,0.000748,-0.002279,0.001550,0.001847,0.000019,20.000000
1032,190526,193437.000,0,58.36875,8.624088,60.0,0.0,2.26,5,39.79,1,2.466765,-0.654823,0.006046,0.130214,0.055014,0.001028,-0.002822,-0.005248,0.001667,0.000019,24.000001
1039,190526,193438.000,0,58.36875,8.624088,60.0,0.0,2.26,5,39.79,1,2.476800,-0.660495,0.003655,0.084372,0.055672,0.003179,-0.001790,0.000222,0.001560,0.000017,23.000000
1047,190526,193456.000,0,58.3688,8.624023,59.0,0.0,2.29,4,39.79,1,2.468239,-0.665633,0.003741,0.074280,0.057472,-0.002068,0.001175,0.002887,0.001940,0.000018,19.000000
1055,190526,193457.000,0,58.3688,8.624023,59.0,0.0,2.29,4,39.79,1,2.461832,-0.675478,0.003046,0.141699,0.061808,-0.002571,-0.001514,-0.000613,0.001936,0.000017,20.000000
1062,190526,193515.000,0,58.36875,8.624022,57.5,0.0,1.4,6,39.79,1,2.454471,-0.691922,0.005056,0.240872,0.069069,-0.000032,-0.004743,-0.001751,0.001796,0.000018,20.000000
1070,190526,193516.000,0,58.36871,8.624017,57.1,0.25,1.74,5,39.79,1,2.433374,-0.711262,0.006311,0.079905,0.075409,-0.000430,-0.001358,-0.006148,0.002843,0.000029,20.000000
1090,190526,193535.000,0,58.36871,8.62405,55.8,1.98,1.4,6,39.79,1,2.867862,-2.050279,0.100868,2.473006,1.024122,-0.003406,0.086900,0.051098,0.062166,0.018380,26.000001
1104,190526,193553.000,0,58.36836,8.623555,54.9,18.52,1.41,6,202.2,1,-0.833453,-3.309610,0.040447,1.263742,0.749378,-0.008865,0.038618,0.008126,0.064466,0.014331,29.000001
1118,190526,193610.000,0,58.36874,8.620387,50.0,52.30048,1.41,6,293.48,1,-0.359707,-3.613452,0.137983,1.374475,0.855344,-0.134452,-0.003574,-0.030806,0.027324,0.004040,18.000001
1125,190526,193611.000,0,58.3688,8.620149,50.1,51.56,1.44,6,295.9,1,1.959248,-1.236387,0.255704,1.084695,0.949125,-0.244615,-0.044715,0.059568,0.072154,0.022873,17.000000
1133,190526,193629.000,0,58.37053,8.617612,48.8,50.63368,1.72,5,302.76,1,-0.494661,-2.217391,0.087163,1.372364,1.073758,-0.046173,0.073044,-0.011401,0.061023,0.026661,20.000000
1141,190526,193630.000,0,58.3706,8.61751,48.8,37.17,1.72,5,312.75,1,2.438924,3.823034,0.252888,1.665606,1.284810,-0.241847,0.073909,-0.000342,0.066712,0.032446,22.000000
1148,190526,193647.000,0,58.3711,8.615536,50.0,37.34,1.76,5,312.75,1,2.863692,-0.405821,0.261470,2.830312,1.544918,0.250825,-0.035542,-0.064731,0.093506,0.071388,23.000000
1156,190526,193648.000,0,58.37101,8.615528,50.4,36.28,1.76,5,188.07,1,-2.018053,-3.031337,0.148658,1.264104,1.423137,0.137293,0.042322,-0.038192,0.118507,0.075471,19.000000
1170,190526,193649.000,0,58.3709,8.615507,50.8,39.11,1.76,5,188.07,1,0.569843,0.371334,0.099745,2.190541,1.250125,-0.086093,0.036791,0.034402,0.043289,0.013653,21.000001
1177,190526,193707.000,0,58.36961,8.609981,59.8,87.05001,1.41,6,244.86,1,-0.424734,0.964545,0.118764,2.621563,1.533871,0.068545,-0.036273,0.089949,0.044570,0.014050,21.000001
1185,190526,193708.000,0,58.36952,8.609617,60.4,86.71,1.41,6,243.96,1,-0.920732,-1.247117,0.225061,0.576598,1.659328,0.192731,-0.072885,-0.090527,0.063701,0.015364,22.000000
1192,190526,193726.000,0,58.36625,8.605548,75.1,90.57,2.93,3,243.96,1,-1.054958,-2.487516,0.115035,2.969608,1.796822,-0.085897,0.000920,-0.076511,0.065866,0.020085,18.000001
1200,190526,193727.000,0,58.36604,8.605378,76.1,88.44001,2.93,3,204.19,1,0.408921,-0.609532,0.066145,2.186975,1.474460,0.005456,0.040896,0.051700,0.046310,0.014919,21.000001
1207,190526,193745.000,0,58.36269,8.600934,93.2,88.44001,2.56,4,204.19,1,1.280431,-0.563949,0.147412,0.861557,1.351976,-0.033898,-0.027035,0.140891,0.051449,0.014425,21.000001
1215,190526,193746.000,0,58.36245,8.600786,93.30001,96.42,2.56,4,205.51,1,1.013108,-0.142076,0.201627,2.555228,1.450354,-0.193764,-0.021533,-0.051430,0.056866,0.015062,20.000000
1222,190526,193747.000,0,58.36223,8.600666,93.1,99.56,2.56,4,206.49,1,1.431053,1.744145,0.144470,4.220544,1.575911,-0.086979,-0.019993,-0.113607,0.052412,0.014774,19.000000
1230,190526,193805.000,0,58.35805,8.5977,99.40001,97.91,1.42,6,179.28,1,2.172983,1.246421,0.184325,3.570259,1.527240,0.116907,0.084899,0.114458,0.052382,0.012413,19.000000
