Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
87,250426,153828.000,0,58.38025,8.676808,33.9,0.06,1.51,6,120.64,1,-7.563815,6.755608,0.020915,0.047198,0.058000,0.004448,-0.020245,-0.002795,0.004811,0.000811,0.000000
107,250426,153850.000,0,58.38033,8.676865,41.8,0.33,1.3,7,253.78,1,-10.111846,7.397495,0.075004,0.958823,0.531076,0.030123,-0.068190,0.008265,0.025503,0.003970,16.000000
115,250426,153851.000,0,58.38034,8.67684,42.0,3.75,1.3,7,253.78,1,-10.608222,6.152712,0.053610,0.368276,1.795133,0.034163,0.040979,0.005268,0.060072,0.009787,14.000000
122,250426,153852.000,0,58.38035,8.676808,42.1,4.2,1.3,7,285.27,1,-11.085467,5.848898,0.018824,0.219422,1.875968,-0.015073,0.009458,0.006140,0.063749,0.010619,16.000000
130,250426,153911.000,0,58.38039,8.676454,39.4,1.63,1.3,7,18.0,1,-12.444390,5.672548,0.141062,0.441882,0.884995,0.113728,-0.079822,0.024353,0.049063,0.006702,12.000000
137,250426,153912.000,0,58.38041,8.676452,39.5,1.58,1.35,6,341.4,1,-11.763328,5.509038,0.164672,2.122696,1.434794,-0.105799,0.042453,-0.118833,0.057080,0.011035,16.000000
151,250426,153931.000,0,58.38099,8.676572,37.3,20.59,1.3,7,358.89,1,-8.706164,6.729169,0.101026,7.437321,1.751834,-0.037752,0.017473,-0.092064,0.048974,0.015030,20.000000
159,250426,153932.000,0,58.38106,8.676546,37.1,21.6,1.3,7,352.88,1,-7.602407,8.091989,0.117696,1.280894,1.512589,-0.070077,0.081851,0.047350,0.047130,0.012834,23.000000
166,250426,153950.000,0,58.38229,8.676249,33.7,28.04,1.13,8,356.42,1,-7.846520,9.975088,0.064880,0.640887,1.459120,-0.064166,0.005485,0.007881,0.052513,0.013917,31.000001
174,250426,153951.000,0,58.38237,8.676232,33.2,28.27,1.46,8,353.9,1,-9.964851,7.706091,0.159839,2.143227,0.906729,0.046872,-0.150774,-0.024875,0.063026,0.023660,30.000000
188,250426,154009.000,0,58.38393,8.67694,26.3,61.13,1.13,8,349.35,1,-8.432486,8.656496,0.055383,0.844974,1.100641,-0.043709,0.033909,-0.002622,0.038190,0.007146,27.000000
195,250426,154010.000,0,58.38406,8.67708,26.0,61.19,1.13,8,28.41,1,-8.113048,8.640648,0.031051,0.375524,1.010270,0.017331,0.016219,0.020018,0.027417,0.005256,19.000000
215,250426,154028.000,0,58.38644,8.6798,15.9,61.3,1.13,8,50.15,1,-8.754444,9.620407,0.082185,1.286124,0.812506,-0.045969,0.006935,-0.067772,0.033877,0.007330,14.000000
223,250426,154045.000,0,58.3879,8.683787,14.0,62.17,1.46,8,41.72,1,-9.249454,9.260896,0.067775,0.650545,0.827872,0.038992,-0.017510,-0.052597,0.032511,0.005505,18.000001
243,250426,154103.000,0,58.38984,8.687668,11.1,64.07,1.45,8,39.67,1,-8.626479,10.152239,0.037507,1.609410,0.755821,-0.002544,-0.035199,-0.012699,0.025223,0.003701,23.000000
251,250426,154104.000,0,58.38996,8.68786,11.0,64.0,1.45,8,39.14,1,-9.741030,10.504869,0.050769,0.982022,0.822966,0.032442,0.018442,-0.034423,0.031509,0.005371,17.000000
258,250426,154120.000,0,58.39198,8.690583,11.8,64.0,1.57,7,39.14,1,-9.306026,10.135307,0.083521,2.898828,0.915993,0.068135,0.028867,-0.038730,0.032236,0.005945,19.000000
266,250426,154121.000,0,58.39211,8.690701,12.2,61.78,1.57,7,22.79,1,-8.964726,11.380502,0.053400,1.895650,0.804217,-0.028968,-0.029894,0.033447,0.032815,0.005129,17.000000
279,250426,154138.000,0,58.39467,8.691315,7.0,60.96784,1.45,8,339.63,1,-9.032450,8.078071,0.071246,0.573468,0.608314,0.069896,0.013357,0.003497,0.039575,0.009490,13.000001
