Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
25,250426,163217.000,0,58.38037,8.676655,23.1,0.0,0.73,13,47.55,1,-12.625332,11.330541,0.002702,0.072805,0.212314,-0.001844,-0.001918,-0.000473,0.003891,0.000056,13.000001
38,250426,163232.000,0,58.38037,8.676655,23.1,0.0,0.8,12,47.55,1,-12.605504,11.190003,0.003050,0.060956,0.048584,0.001344,0.001223,-0.002450,0.001693,0.000018,22.000000
52,250426,163247.000,0,58.38037,8.676655,23.1,0.0,0.8,12,47.55,1,-12.562951,11.163299,0.002507,0.058065,0.043771,0.000481,0.002153,0.001191,0.001143,0.000008,27.000000
60,250426,163302.000,0,58.38037,8.676655,23.1,0.0,0.8,12,47.55,1,-12.565534,11.168133,0.003210,0.057349,0.044004,0.002506,-0.000214,-0.001994,0.001111,0.000008,29.000001
80,250426,163318.000,0,58.38037,8.676655,23.1,0.0,0.89,11,47.55,1,-12.571849,11.186619,0.002102,0.090305,0.047349,0.000306,-0.002078,0.000091,0.001068,0.000008,27.000000
88,250426,163333.000,0,58.38037,8.676655,23.1,1.59,0.81,12,47.55,1,-12.545953,11.211493,0.002758,0.030087,0.044732,-0.001613,0.001993,-0.001016,0.001109,0.000007,27.000000
102,250426,163334.000,0,58.38037,8.676655,23.1,0.0,0.84,11,47.55,1,-12.557304,11.218342,0.003092,0.110291,0.047422,-0.002648,0.000771,0.001397,0.001290,0.000009,30.000000
109,250426,163349.000,0,58.38037,8.676655,23.1,0.0,0.81,12,47.55,1,-12.542111,11.217912,0.001995,0.058983,0.044388,0.001780,-0.000733,0.000521,0.001378,0.000009,27.000000
129,250426,163405.000,0,58.38037,8.676655,23.1,0.0,0.75,13,47.55,1,-12.522095,11.261104,0.003459,0.066329,0.038253,-0.001262,0.001611,0.002789,0.001222,0.000008,26.000001
143,250426,163420.000,0,58.38037,8.676655,23.1,0.0,0.68,14,47.55,1,-12.513329,11.278787,0.002646,0.024435,0.042438,-0.001236,0.001276,0.001962,0.000990,0.000008,23.000000
151,250426,163435.000,0,58.38037,8.676655,23.1,0.0,0.68,14,47.55,1,-12.509961,11.291498,0.002444,0.049849,0.038977,-0.000590,0.002238,-0.000784,0.001004,0.000008,25.000000
