Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
98,260426,135115.000,0,58.33995,8.582757,46.3,1.83,2.31,5,304.31,1,0.253353,1.714383,0.001173,0.043181,0.040016,0.000408,-0.001072,0.000241,0.001079,0.000009,8.000000
106,260426,135116.000,0,58.33995,8.582751,46.3,1.89,2.31,5,289.94,1,0.272317,1.700295,0.002699,0.070783,0.039123,-0.000365,0.002266,-0.001421,0.001229,0.000009,14.000000
113,260426,135117.000,0,58.33995,8.582751,46.2,0.0,2.31,5,4.0,1,0.263187,1.694307,0.005209,0.084439,0.043323,0.000294,-0.002811,-0.004375,0.001603,0.000011,18.000001
127,260426,135137.000,0,58.33999,8.582648,36.9,0.0,1.45,7,4.0,1,1.110949,0.605476,0.195052,4.072428,6.147643,0.115718,-0.143481,-0.063781,0.271541,0.108463,15.000000
135,260426,135138.000,0,58.33999,8.582648,36.9,0.0,1.45,7,4.0,1,-1.089188,1.168114,0.069579,0.052145,6.142694,-0.019736,-0.066446,0.006057,0.250856,0.111022,12.000000
142,260426,135157.000,0,58.33997,8.582688,36.1,1.51,1.45,7,106.11,1,-2.451854,1.623891,0.044471,0.017297,0.942539,-0.013922,-0.041795,0.006089,0.053969,0.009346,8.000000
169,260426,135218.000,0,58.34,8.582672,35.4,0.0,1.45,7,348.54,1,-5.176772,3.321010,0.059584,0.642201,0.332388,-0.045803,0.037949,-0.003491,0.036333,0.004148,20.000000
176,260426,135236.000,0,58.33997,8.582733,33.9,2.33,1.45,7,348.54,1,-6.217371,1.636743,0.111914,1.306527,0.335310,0.105397,0.009335,0.036457,0.039669,0.008579,14.000000
184,260426,135237.000,0,58.33996,8.582773,33.7,3.08,1.45,7,111.69,1,-7.436955,3.268284,0.100787,2.124215,0.581384,-0.077947,-0.027605,-0.057620,0.040018,0.009934,20.000000
191,260426,135254.000,0,58.33939,8.583014,26.0,3.08,1.5,7,111.69,1,-6.129360,4.336957,0.065894,2.003760,0.744424,-0.012171,0.044273,-0.047263,0.024878,0.008308,24.000001
199,260426,135255.000,0,58.3393,8.583027,25.5,32.51,1.45,7,176.86,1,-4.624875,4.172064,0.088199,2.438527,0.848083,0.074574,0.034138,0.032439,0.024183,0.006502,27.000000
206,260426,135312.000,0,58.33777,8.582944,13.9,37.3,1.45,7,176.86,1,-4.268882,3.795567,0.051941,1.840167,1.324098,-0.033803,-0.000620,-0.039431,0.033758,0.008050,33.000000
214,260426,135313.000,0,58.33768,8.582871,13.2,37.61,1.5,7,204.23,1,-4.301011,4.701100,0.057834,3.079393,1.368583,-0.051224,0.005426,0.026295,0.039821,0.007900,27.000000
228,260426,135330.000,0,58.33625,8.581926,4.3,29.7,1.45,7,209.25,1,-2.852096,1.757959,0.117337,0.129394,0.978555,-0.001879,-0.117081,-0.007521,0.052545,0.013192,20.000000
235,260426,135331.000,0,58.33619,8.581857,3.8,26.0,1.45,7,212.79,1,-6.022867,1.915752,0.224004,0.462374,0.555822,0.017059,-0.223327,0.003433,0.044433,0.015348,8.000000
249,260426,135348.000,0,58.33617,8.581396,2.0,22.48,1.45,7,296.8,1,-10.711746,3.202039,0.027036,0.235248,2.466365,-0.009103,0.015880,-0.019897,0.112177,0.033694,26.000001
257,260426,135349.000,0,58.3362,8.581292,2.2,26.06,1.49,7,304.73,1,-9.884335,4.066457,0.037103,0.720375,0.770268,-0.002446,0.033135,0.016514,0.048480,0.008456,25.000000
