Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
83,260426,143212.000,0,58.32272,8.569517,13.1,3.04,1.71,5,65.88,1,-6.614471,5.242651,0.015585,0.057746,0.117241,-0.003222,0.015225,0.000848,0.011404,0.000621,6.000000
97,260426,143234.000,0,58.32276,8.569536,19.2,0.29,1.46,6,53.02,1,-6.068727,5.321513,0.005103,0.034872,0.074371,-0.000846,0.004603,-0.002034,0.003391,0.000111,17.000000
105,260426,143254.000,0,58.32277,8.569531,22.2,205.64,1.46,6,328.82,1,-5.946150,5.331737,0.003737,0.073895,0.076323,-0.000660,0.002852,-0.002324,0.002874,0.000053,19.000000
112,260426,143255.000,0,58.32277,8.56953,22.2,0.0,1.46,6,328.82,1,-5.898336,5.373050,0.003603,0.075470,0.093993,-0.001013,0.003415,0.000540,0.004099,0.000042,22.000000
120,260426,143256.000,0,58.32277,8.56953,22.2,0.0,1.46,6,212.43,1,-5.869901,5.366302,0.004484,0.120318,0.093046,-0.002272,0.003716,-0.001067,0.004108,0.000033,24.000001
127,260426,143315.000,0,58.32277,8.56953,22.2,0.0,1.1,7,212.43,1,-5.847683,5.339030,0.005713,0.095403,0.049050,0.004318,0.002890,0.002375,0.001352,0.000014,26.000001
141,260426,143316.000,0,58.32277,8.56953,22.2,0.0,1.1,7,212.43,1,-5.803225,5.323984,0.001163,0.054736,0.083876,-0.000859,-0.000039,0.000782,0.003230,0.000026,28.000000
155,260426,143334.000,0,58.32277,8.56953,22.2,0.0,1.07,8,212.43,1,-5.791324,5.319148,0.002820,0.045188,0.050064,0.000158,0.001736,0.002217,0.001454,0.000010,20.000000
169,260426,143352.000,0,58.32277,8.56953,22.2,0.0,1.07,8,212.43,1,-5.859157,5.300812,0.005258,0.070374,0.174925,0.000163,-0.004890,-0.001925,0.005618,0.000053,23.000000
177,260426,143353.000,0,58.32277,8.56953,22.2,0.0,1.07,8,212.43,1,-5.877545,5.332628,0.001189,0.103959,0.084919,0.000980,-0.000120,-0.000663,0.003454,0.000031,23.000000
191,260426,143410.000,0,58.32277,8.56953,22.2,0.0,0.78,11,212.43,1,-5.924228,5.340463,0.002134,0.103633,0.043003,-0.000830,-0.000674,-0.001847,0.001275,0.000009,19.000000
198,260426,143426.000,0,58.32277,8.56953,22.2,0.0,0.78,11,212.43,1,-5.920477,5.323730,0.002785,0.026858,0.040272,0.001041,0.002574,0.000214,0.001192,0.000008,19.000000
218,260426,143443.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.961739,5.271766,0.002231,0.097014,0.046422,-0.000873,0.002028,0.000322,0.001383,0.000011,31.000001
226,260426,143444.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.963386,5.264939,0.002868,0.063221,0.036662,0.002384,-0.000076,-0.001593,0.001206,0.000008,29.000001
240,260426,143500.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.972109,5.251874,0.003248,0.053812,0.044253,-0.000323,0.003122,0.000839,0.001523,0.000012,22.000000
247,260426,143516.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.964555,5.269629,0.003697,0.135451,0.043154,0.000533,0.003655,0.000148,0.001483,0.000011,21.000001
261,260426,143517.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.958116,5.279447,0.003121,0.058643,0.037533,-0.002212,0.002055,-0.000788,0.001216,0.000009,17.000000
281,260426,143534.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.970707,5.239453,0.000992,0.062381,0.209539,0.000310,-0.000741,-0.000581,0.008942,0.000097,26.000001
289,260426,143549.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.976023,5.230114,0.003887,0.058535,0.208547,0.000799,0.003241,0.001992,0.008909,0.000100,19.000000
303,260426,143605.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.971737,5.212935,0.004051,0.112495,0.036573,-0.001011,0.003844,0.000786,0.001122,0.000009,14.000000
311,260426,143621.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.960834,5.214070,0.002987,0.030213,0.039779,-0.000697,0.001889,0.002207,0.001094,0.000009,18.000001
325,260426,143622.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.943870,5.231174,0.002785,0.077402,0.045353,0.000739,0.001886,0.001911,0.001253,0.000012,16.000000
332,260426,143637.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.939701,5.240490,0.003331,0.071536,0.043568,0.002321,0.002365,-0.000343,0.001247,0.000012,22.000000
365,260426,143709.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.957217,5.247546,0.003372,0.085053,0.040105,-0.002393,0.002331,0.000462,0.000962,0.000008,27.000000
373,260426,143710.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.971066,5.254328,0.001479,0.047912,0.043876,-0.000550,-0.001101,-0.000821,0.001125,0.000009,33.000000
393,260426,143740.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.978581,5.256013,0.004257,0.081965,0.041559,0.002627,-0.002228,-0.002501,0.001248,0.000008,24.000001
401,260426,143741.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.952819,5.251049,0.003380,0.107490,0.039191,0.001683,0.001490,-0.002524,0.001133,0.000008,24.000001
421,260426,143757.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.975352,5.226217,0.002114,0.091443,0.046183,0.001123,-0.000650,0.001669,0.001474,0.000013,21.000001
428,260426,143812.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-5.956623,5.233631,0.007117,0.200054,0.137834,0.001185,-0.006962,-0.000876,0.004671,0.000046,24.000001
449,260426,143828.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-6.127588,5.183945,0.016056,0.118982,0.122860,0.000830,-0.015905,-0.002030,0.005443,0.000078,23.000000
456,260426,143843.000,0,58.32277,8.56953,22.2,0.0,0.73,12,212.43,1,-6.524892,5.130049,0.017219,0.255109,0.138581,0.008438,-0.014450,0.004059,0.006851,0.000195,26.000001
476,260426,143859.000,0,58.32271,8.569554,25.0,1.56,0.73,12,235.82,1,-6.737662,3.988809,0.012105,0.031593,0.136994,0.003766,-0.011383,0.001669,0.016795,0.001144,23.000000
485,260426,143914.000,0,58.3227,8.569427,26.9,2.1,0.73,12,235.82,1,-8.350300,3.935833,0.095054,0.863683,0.312371,0.069673,-0.048304,-0.042985,0.042845,0.005324,21.000001
492,260426,143915.000,0,58.3227,8.569384,26.9,2.9,0.73,12,279.91,1,-7.037348,3.193060,0.051131,0.063143,0.350186,-0.013331,0.049227,0.003662,0.033834,0.007277,29.000001
500,260426,143930.000,0,58.32283,8.569227,27.5,2.96,0.73,12,279.91,1,-8.975598,1.845104,0.099211,1.047364,0.312856,0.029255,-0.094767,0.002488,0.049822,0.009148,22.000000
514,260426,143931.000,0,58.32284,8.569262,27.6,3.14,0.73,12,67.82,1,-7.190649,2.336025,0.114653,2.692934,0.675222,-0.057897,0.071428,0.068494,0.032760,0.005429,25.000000
522,260426,143946.000,0,58.32248,8.571326,27.3,37.47,1.0,10,112.07,1,-5.347735,2.896472,0.016577,1.132114,0.548870,-0.002147,0.013505,0.009370,0.026984,0.006658,22.000000
529,260426,143947.000,0,58.32244,8.571493,27.3,37.61,0.95,10,111.88,1,-4.771278,2.616451,0.040899,1.111536,0.550508,0.037795,0.013882,-0.007176,0.036417,0.005694,22.000000
549,260426,144017.000,0,58.32183,8.57558,16.9,22.5,0.74,12,113.58,1,-5.060246,2.980601,0.057951,0.213992,0.464255,0.036640,-0.042448,-0.014627,0.032056,0.005339,22.000000
557,260426,144018.000,0,58.32187,8.575655,16.4,20.89,0.77,11,43.6,1,-5.077209,2.467836,0.024953,0.374591,0.360967,0.002903,-0.024657,0.002505,0.032994,0.004660,22.000000
571,260426,144033.000,0,58.32257,8.576235,12.6,8.82,0.73,12,20.37,1,-9.117989,2.518528,0.030084,1.072975,0.402744,0.006649,-0.027025,-0.011421,0.057995,0.011603,10.000000
578,260426,144034.000,0,58.32258,8.576247,12.7,6.51,0.74,12,17.64,1,-8.329028,2.477861,0.056156,0.342401,0.463013,0.014473,0.052478,-0.013786,0.042873,0.008875,16.000000
586,260426,144049.000,0,58.32359,8.576872,13.7,44.16,0.78,11,19.74,1,-9.173027,2.717821,0.091699,2.217744,0.646524,-0.087620,-0.021472,0.016439,0.032085,0.005559,16.000000
600,260426,144050.000,0,58.32369,8.576872,13.7,43.04048,0.78,11,20.27,1,-9.436147,2.675992,0.134638,0.562834,0.654493,0.037075,-0.128184,-0.017932,0.039177,0.006806,25.000000
607,260426,144105.000,0,58.32505,8.57777,18.9,27.49,0.73,12,20.27,1,-10.563786,2.977282,0.040767,0.327743,0.520481,-0.035388,-0.005849,-0.019376,0.037332,0.007189,17.000000
615,260426,144120.000,0,58.32592,8.578135,20.6,27.49,0.74,12,20.27,1,-6.273468,2.802529,0.192841,0.235758,0.538539,-0.069602,0.179842,0.000161,0.081338,0.020662,13.000001
629,260426,144136.000,0,58.32671,8.578435,22.5,17.85,0.74,12,6.98,1,-9.514564,2.888932,0.190717,3.507196,0.732190,0.108237,-0.010713,-0.156663,0.062079,0.014881,16.000000
649,260426,144152.000,0,58.32813,8.579268,19.3,42.75,0.79,11,24.24,1,-6.608356,4.126776,0.099265,0.377300,0.875095,0.019822,-0.091484,-0.033035,0.059525,0.011135,20.000000
656,260426,144153.000,0,58.32823,8.57936,18.7,42.69,0.79,11,25.49,1,-8.748816,4.332471,0.097383,1.101195,0.646586,-0.040148,-0.086807,-0.018334,0.050479,0.009737,22.000000
664,260426,144208.000,0,58.32941,8.580135,16.8,39.59,0.74,12,5.24,1,-8.454393,4.569985,0.021357,0.983537,0.699256,0.014042,-0.016089,0.000307,0.031770,0.005593,24.000001
678,260426,144224.000,0,58.33112,8.580174,22.3,42.05,0.79,11,1.09,1,-8.275291,4.404061,0.041613,0.507248,0.627344,0.024878,0.005415,0.032915,0.020543,0.002211,24.000001
685,260426,144225.000,0,58.33123,8.580174,22.5,42.03,0.79,11,1.37,1,-7.883100,4.379389,0.045978,0.866629,0.621681,0.000589,0.038994,0.024354,0.021184,0.002583,24.000001
706,260426,144242.000,0,58.33296,8.581059,19.3,45.6,0.79,11,24.63,1,-7.983365,4.492558,0.051553,0.821523,0.499738,-0.019932,0.033432,0.033804,0.019500,0.002680,23.000000
719,260426,144258.000,0,58.33447,8.581925,19.9,42.35,0.82,11,5.06,1,-5.210447,4.034093,0.129694,0.957914,0.624241,0.009985,0.127819,0.019573,0.051836,0.008855,25.000000
733,260426,144314.000,0,58.33565,8.582124,19.6,7.44504,0.73,12,23.75,1,-10.009468,1.093093,0.087201,0.712870,0.953573,-0.064199,-0.058693,-0.006133,0.073153,0.028233,15.000000
747,260426,144330.000,0,58.33533,8.583793,20.9,51.39,0.73,12,117.77,1,-8.038950,3.619338,0.068352,0.862440,0.651629,-0.052821,0.042426,-0.009052,0.021166,0.007129,23.000000
755,260426,144345.000,0,58.33462,8.587234,26.5,49.88,0.8,11,117.77,1,-7.222491,6.365505,0.124269,1.034563,0.611392,-0.123166,0.011276,0.012071,0.023034,0.009857,19.000000
769,260426,144346.000,0,58.33465,8.587468,26.4,50.3,0.8,11,73.33,1,-7.180111,4.956906,0.170597,1.065679,0.894112,0.142723,-0.088898,-0.028822,0.075518,0.033728,26.000001
777,260426,144401.000,0,58.33556,8.589568,17.9,36.81,0.74,12,30.52,1,-7.773709,4.911322,0.061482,1.723027,1.140977,-0.020284,0.013840,-0.056365,0.093051,0.026597,26.000001
797,260426,144417.000,0,58.33707,8.591941,8.3,44.64,0.92,9,38.33,1,-7.996077,5.551998,0.168437,1.744025,0.882546,0.124057,-0.109030,-0.033063,0.046038,0.017494,26.000001
811,260426,144433.000,0,58.33837,8.592113,7.4,41.79,0.78,11,38.33,1,-8.567914,4.273278,0.069644,0.680645,0.734144,0.007195,-0.064969,-0.024031,0.027672,0.004604,24.000001
825,260426,144449.000,0,58.33988,8.592922,7.6,39.35,0.83,10,22.05,1,-6.343817,4.191733,0.058002,1.253070,0.900142,-0.054950,-0.008415,-0.016548,0.034136,0.008961,26.000001
845,260426,144505.000,0,58.34085,8.594056,6.8,27.44664,0.8,11,36.06,1,-5.225791,6.058132,0.048148,0.134558,0.412664,-0.018104,-0.044584,0.001668,0.056899,0.009117,11.000000
859,260426,144521.000,0,58.34112,8.594314,7.0,14.68,0.89,11,24.85,1,-5.696602,5.322604,0.060481,0.536113,0.486421,0.013934,-0.058486,-0.006575,0.038283,0.006473,21.000001
867,260426,144536.000,0,58.34145,8.594687,2.6,10.27,0.73,12,24.85,1,-8.588491,4.462111,0.102857,1.509147,0.487390,0.000932,-0.095491,-0.038213,0.047992,0.009964,12.000000
874,260426,144537.000,0,58.34148,8.594729,3.0,14.69,0.73,12,43.74,1,-8.767335,4.733983,0.083145,1.144173,0.927965,-0.072524,0.040539,-0.003136,0.038989,0.010784,20.000000
895,260426,144553.000,0,58.342,8.59662,4.0,25.68,0.89,10,31.51,1,-12.422125,5.819443,0.136062,1.562372,0.868331,0.130508,-0.026906,-0.027505,0.048710,0.009428,22.000000
902,260426,144608.000,0,58.34349,8.596527,10.0,42.88,0.84,10,31.51,1,-12.739394,2.671405,0.083946,1.747347,0.826866,0.001470,-0.083304,0.010254,0.051143,0.011501,22.000000
910,260426,144609.000,0,58.3436,8.596453,10.8,43.23,0.84,10,338.42,1,-11.151236,3.928562,0.208373,1.259574,0.876494,-0.077899,0.193006,-0.009980,0.049313,0.014882,22.000000
924,260426,144624.000,0,58.34529,8.597251,19.2,47.2,0.79,11,338.42,1,-9.295476,4.791675,0.067989,0.658772,1.743602,-0.058870,0.028022,0.019279,0.065044,0.010992,27.000000
932,260426,144639.000,0,58.34686,8.598306,19.0,48.33,0.74,12,10.39,1,-8.672630,5.304514,0.028858,0.437553,0.514667,-0.016755,0.023493,-0.000324,0.022497,0.003041,19.000000
940,260426,144640.000,0,58.347,8.598337,18.6,47.46,0.74,12,8.13,1,-8.219781,5.218048,0.038718,1.816816,0.681496,-0.021107,0.017212,0.027520,0.023121,0.003646,16.000000
953,260426,144655.000,0,58.34878,8.598348,17.6,46.46,0.74,12,8.13,1,-4.708589,8.331552,0.083299,3.072951,1.073218,0.078574,-0.002819,-0.027512,0.106411,0.026262,18.000001
961,260426,144710.000,0,58.34977,8.59777,17.8,24.29,0.74,12,270.42,1,-7.660790,8.742916,0.082538,1.730462,1.055240,-0.060616,-0.054402,0.013367,0.093334,0.033057,18.000001
975,260426,144711.000,0,58.34977,8.597645,17.4,27.0,0.74,12,265.5,1,-10.318663,4.710258,0.179451,0.802317,0.580823,0.173252,-0.028597,-0.036996,0.041317,0.015902,19.000000
989,260426,144727.000,0,58.3488,8.596385,17.0,30.67,0.89,10,210.31,1,-10.806316,5.329446,0.038817,0.545739,0.430152,0.018359,0.033143,-0.008440,0.018769,0.002494,24.000001
996,260426,144742.000,0,58.34799,8.595546,24.6,22.12,0.79,11,184.17,1,-9.010347,4.240480,0.098198,0.702564,0.430885,0.031836,0.091965,-0.013105,0.034454,0.006466,14.000000
1017,260426,144758.000,0,58.34762,8.595333,32.7,0.61,0.73,12,215.14,1,-12.123415,2.168047,0.085352,0.888212,0.324123,-0.029131,0.077587,-0.020410,0.041609,0.008006,16.000000
1031,260426,144813.000,0,58.34796,8.594354,45.5,16.71,0.74,12,215.14,1,-7.954524,4.163621,0.083452,0.333538,0.613365,-0.071442,0.043131,0.000119,0.036250,0.009018,18.000001
1038,260426,144828.000,0,58.34839,8.593353,49.6,10.49,0.74,12,215.14,1,-8.086942,3.645422,0.044916,0.723559,0.520030,0.042565,-0.000488,-0.014332,0.026313,0.003723,22.000000
