Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
31,260426,145541.000,0,58.34017,8.58253,1.6,0.0,0.91,9,278.24,1,-8.966744,4.093984,0.004831,0.058405,0.057565,-0.004337,-0.001152,-0.001790,0.001911,0.000038,16.000000
45,260426,145556.000,0,58.34014,8.582561,6.6,0.0,0.88,10,156.29,1,-8.997506,4.194388,0.000556,0.057610,0.057086,0.000188,-0.000287,-0.000438,0.002421,0.000022,23.000000
52,260426,145557.000,0,58.34014,8.582561,6.6,0.0,0.88,10,156.29,1,-9.004224,4.221150,0.005450,0.181476,0.050010,-0.003187,0.000767,-0.004354,0.001500,0.000014,23.000000
79,260426,145628.000,0,58.34014,8.582561,6.6,0.0,1.33,8,156.29,1,-8.997231,4.286231,0.002318,0.076808,0.040426,-0.001193,-0.000030,0.001988,0.001285,0.000010,19.000000
99,260426,145645.000,0,58.34014,8.582561,6.6,0.0,1.02,9,156.29,1,-8.987115,4.296867,0.003043,0.121863,0.045268,-0.002045,0.002242,-0.000226,0.001325,0.000011,31.000001
113,260426,145700.000,0,58.34011,8.582648,11.8,0.0,0.94,10,156.29,1,-8.597141,4.019815,0.029816,0.287133,0.253632,0.025317,0.014301,-0.006597,0.012688,0.000388,20.000000
120,260426,145715.000,0,58.3401,8.58272,13.2,3.59,0.77,11,89.67,1,-9.356413,4.041358,0.106449,0.620046,0.425340,-0.093889,0.049645,0.007186,0.049355,0.006121,20.000000
141,260426,145731.000,0,58.33993,8.582931,15.2,1.77,0.85,11,110.3,1,-11.305003,4.563596,0.118734,1.798590,0.610375,-0.103899,0.040154,0.041115,0.051762,0.014369,16.000000
149,260426,145746.000,0,58.33889,8.583073,17.9,42.65,0.76,12,110.3,1,-9.418469,5.089407,0.080498,0.401337,0.837504,-0.012728,0.078454,0.012766,0.036059,0.009477,24.000001
156,260426,145747.000,0,58.33876,8.583094,17.6,40.82,0.76,12,174.2,1,-8.188361,4.274274,0.077502,0.820737,0.942100,-0.055426,0.045151,0.029930,0.035881,0.009057,22.000000
177,260426,145803.000,0,58.33727,8.582612,12.3,37.21,0.89,10,201.19,1,-5.795271,2.668671,0.146824,0.451585,0.718429,0.052738,0.136860,0.006714,0.057471,0.010943,24.000001
184,260426,145818.000,0,58.33602,8.581815,10.1,22.29,0.83,10,201.19,1,-9.576248,1.176164,0.252241,1.840977,1.397249,-0.055613,-0.240612,-0.051365,0.079828,0.033196,20.000000
