Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
41,260426,151632.000,0,58.3228,8.569684,52.9,0.0,0.86,12,38.77,1,-6.927914,5.459165,0.011243,0.079037,0.175065,-0.005229,0.009916,-0.000850,0.008385,0.000298,24.000001
55,260426,151647.000,0,58.3228,8.569684,52.9,0.0,0.86,12,38.77,1,-6.624087,5.581069,0.005830,0.050001,0.071654,-0.000376,0.005014,0.002951,0.002598,0.000054,30.000000
69,260426,151648.000,0,58.3228,8.569684,52.9,0.0,0.86,12,38.77,1,-6.516547,5.643987,0.003382,0.078352,0.047495,-0.001952,0.002727,0.000438,0.001637,0.000017,20.000000
76,260426,151703.000,0,58.3228,8.569684,52.9,0.0,0.86,12,38.77,1,-6.504685,5.669293,0.003928,0.092048,0.049422,-0.002039,0.003103,0.001282,0.001303,0.000011,22.000000
90,260426,151718.000,0,58.3228,8.569684,52.9,0.0,0.86,12,38.77,1,-6.483688,5.687835,0.003844,0.071720,0.047919,-0.001707,0.000838,-0.003341,0.001282,0.000013,23.000000
98,260426,151733.000,0,58.3228,8.569684,52.9,1.48,0.86,12,35.77,1,-6.471508,5.687794,0.001874,0.036839,0.049518,-0.000253,-0.001155,0.001454,0.001481,0.000013,24.000001
112,260426,151748.000,0,58.3228,8.569684,52.9,0.0,0.86,12,38.77,1,-6.473718,5.688083,0.001418,0.060556,0.067097,0.000335,-0.000038,0.001377,0.001793,0.000013,29.000001
119,260426,151749.000,0,58.3228,8.569684,52.9,0.0,0.86,12,38.77,1,-6.472927,5.684495,0.003484,0.064107,0.054140,-0.000047,-0.002998,-0.001774,0.001551,0.000011,31.000001
133,260426,151804.000,0,58.32283,8.569643,55.5,0.0,0.86,12,38.77,1,-6.466618,5.675153,0.003908,0.073749,0.046602,0.003295,0.001713,0.001218,0.001258,0.000011,22.000000
141,260426,151805.000,0,58.32283,8.569643,55.5,0.0,0.86,12,16.61,1,-6.461463,5.662201,0.004372,0.070459,0.049287,0.000549,0.003149,0.002982,0.001509,0.000012,25.000000
155,260426,151820.000,0,58.32283,8.569643,55.5,0.0,0.86,12,16.61,1,-6.456458,5.657810,0.003795,0.063450,0.061599,0.000662,0.000339,-0.003721,0.001703,0.000012,32.000000
162,260426,151835.000,0,58.32283,8.569643,55.5,0.0,0.95,11,16.61,1,-6.454842,5.666399,0.001496,0.022825,0.059003,-0.000850,0.001141,0.000460,0.001794,0.000011,28.000000
170,260426,151836.000,0,58.32283,8.569643,55.5,0.0,0.95,11,16.61,1,-6.467673,5.640045,0.001395,0.068613,0.083692,0.001226,-0.000617,-0.000244,0.002993,0.000026,23.000000
183,260426,151851.000,0,58.32283,8.569643,55.5,0.0,1.03,10,16.61,1,-6.469296,5.650974,0.002730,0.070433,0.054470,0.001909,-0.001179,0.001554,0.001492,0.000012,28.000000
191,260426,151906.000,0,58.32283,8.569643,55.5,0.0,1.03,10,16.61,1,-6.449036,5.654589,0.003961,0.082010,0.040627,0.000954,0.003697,0.001052,0.001325,0.000010,26.000001
211,260426,151922.000,0,58.32282,8.569638,57.3,3.64,0.95,11,213.43,1,-8.650500,6.254968,0.104659,0.622172,0.258964,0.068665,-0.076140,-0.021008,0.044392,0.005798,18.000001
219,260426,151923.000,0,58.32281,8.569635,57.5,3.56,0.95,11,201.94,1,-7.635243,4.237149,0.081173,0.202104,0.508375,-0.026715,0.076472,-0.005242,0.042156,0.012236,16.000000
233,260426,151938.000,0,58.32288,8.569217,54.3,13.39,1.05,10,201.94,1,-7.883338,3.681823,0.173359,0.357751,0.353425,-0.023426,0.171769,0.000149,0.047824,0.010999,10.000000
