Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
311,270426,144105.000,0,58.38081,8.6765,57.5,2.5002,2.12,4,139.89,1,-2.976538,2.493215,0.061913,0.425470,0.426621,-0.044989,0.042327,0.004200,0.019747,0.002634,25.000000
318,270426,144106.000,0,58.38081,8.676507,58.5,2.37056,2.12,4,205.27,1,-2.051108,2.005383,0.086397,0.786439,0.358967,0.084038,-0.010526,-0.017064,0.016085,0.002551,21.000001
326,270426,144107.000,0,58.38079,8.676496,57.2,5.99,2.12,4,205.27,1,-1.936185,1.625396,0.017676,0.267806,0.277273,-0.016259,-0.005453,-0.004282,0.021095,0.001967,21.000001
378,270426,144219.000,0,58.38096,8.676585,55.2,32.98,2.13,4,315.94,1,-0.491308,0.626308,0.020493,0.262174,0.294349,-0.005416,-0.017707,0.008781,0.014122,0.000762,20.000000
385,270426,144220.000,0,58.38095,8.67656,54.2,30.23,2.07,5,311.54,1,-0.796061,0.591076,0.008232,0.260426,0.277488,-0.006149,0.005308,-0.001337,0.008181,0.000485,23.000000
393,270426,144221.000,0,58.38092,8.676467,53.3,26.84,2.07,5,315.65,1,-0.407582,0.497517,0.041085,0.730732,0.604323,0.000546,0.006573,0.040552,0.027834,0.002168,21.000001
407,270426,144243.000,0,58.38088,8.676332,40.2,9.06,2.08,5,327.41,1,0.973809,0.011131,0.049182,0.333008,0.622112,-0.035252,0.031921,0.012540,0.031823,0.006530,18.000001
414,270426,144244.000,0,58.38087,8.676345,39.4,9.49,2.14,4,327.41,1,1.432353,0.802490,0.018914,0.296446,0.329028,-0.015897,0.005232,0.008812,0.019752,0.002718,22.000000
422,270426,144245.000,0,58.38086,8.676348,38.3,9.51,2.14,4,327.41,1,1.638773,1.398190,0.050754,0.467977,0.214256,-0.046593,-0.005086,-0.019473,0.013253,0.001185,24.000001
429,270426,144307.000,0,58.381,8.676372,26.5,5.88,2.15,4,255.84,1,-0.084180,1.795156,0.182004,2.279195,0.733087,-0.070041,-0.077010,0.149296,0.051922,0.007007,18.000001
437,270426,144308.000,0,58.38102,8.676386,25.7,5.15,2.15,4,355.74,1,-2.454977,1.287957,0.136083,1.493855,1.183154,0.068350,-0.070948,0.093879,0.062631,0.018903,12.000000
445,270426,144328.000,0,58.38099,8.676162,11.5,4.03,3.41,4,355.74,1,-2.454200,1.082509,0.082744,8.556677,4.930507,-0.053558,-0.027793,0.056618,0.178957,0.077302,16.000000
453,270426,144329.000,0,58.38097,8.6762,10.7,3.54,3.41,4,172.25,1,-5.924046,-4.652352,0.313377,4.012153,5.052102,0.308287,-0.034641,-0.044316,0.282372,0.196114,12.000000
460,270426,144330.000,0,58.38099,8.676175,9.8,3.25,2.15,4,303.77,1,-6.196870,-6.606985,0.146992,0.072090,2.156993,-0.131470,0.054369,0.036965,0.282775,0.182957,4.000000
468,270426,144350.000,0,58.38103,8.676298,4.7,1.97,3.39,4,303.77,1,-4.982973,-3.558656,0.100495,0.073077,1.459041,-0.090722,0.033034,0.027885,0.162146,0.058076,4.000000
475,270426,144351.000,0,58.38103,8.676282,4.7,1.89,3.39,4,241.19,1,-4.240171,-1.616956,0.070771,0.050072,0.104598,-0.065963,0.020722,0.015098,0.022747,0.009116,0.000000
496,270426,144415.000,0,58.38113,8.676063,3.2,3.38,3.37,4,297.9,1,-4.625550,0.885353,0.194469,4.918213,1.092628,0.089203,0.058711,0.162524,0.039087,0.005469,14.000000
503,270426,144416.000,0,58.3811,8.676046,3.2,3.65,3.37,4,277.14,1,-2.597735,0.351016,0.105965,0.358187,1.275269,0.049713,0.081969,-0.045146,0.047127,0.010472,16.000000
523,270426,144438.000,0,58.38024,8.675803,6.6,16.59,2.12,5,206.66,1,-0.033463,-1.142337,0.023055,0.313067,1.094946,-0.020259,0.002217,0.010779,0.050934,0.010220,18.000001
531,270426,144439.000,0,58.38018,8.67576,7.4,16.55688,2.12,5,204.76,1,-2.180549,3.423304,0.073209,0.465206,0.645142,-0.065055,-0.029344,-0.016318,0.076168,0.023468,16.000000
539,270426,144440.000,0,58.38014,8.675738,7.9,38.11416,2.12,5,187.76,1,-1.339754,3.490599,0.048817,0.982053,0.382720,-0.016363,0.045202,-0.008495,0.086132,0.019508,17.000000
546,270426,144501.000,0,58.37934,8.674342,12.2,39.11424,2.12,5,190.21,1,0.153300,3.613191,0.069169,0.671751,0.545204,0.019953,0.046437,0.047221,0.025309,0.004097,17.000000
554,270426,144502.000,0,58.37924,8.674311,12.4,39.7254,2.12,5,192.08,1,-0.534340,4.008252,0.048255,1.188900,0.706220,-0.009791,0.001254,-0.047235,0.023551,0.004354,22.000000
561,270426,144503.000,0,58.37915,8.67427,12.6,39.76,2.12,5,192.08,1,0.825334,3.345770,0.102511,1.770880,0.734365,0.032724,0.081582,-0.052745,0.027115,0.005035,22.000000
569,270426,144523.000,0,58.37689,8.673569,16.3,48.65,2.16,5,192.08,1,5.132670,2.793436,0.195275,0.129593,0.651366,0.012479,0.194863,0.002210,0.043663,0.014546,20.000000
576,270426,144524.000,0,58.37676,8.673574,16.5,51.77,2.16,5,192.08,1,4.265177,3.137650,0.041879,0.074953,0.447114,-0.013968,-0.039195,-0.004745,0.052760,0.012388,16.000000
584,270426,144544.000,0,58.37547,8.67381,21.6,3.2,2.14,5,177.82,1,2.437625,2.177578,0.144737,1.044951,0.263561,0.053795,-0.132786,0.020566,0.046198,0.007015,10.000000
592,270426,144545.000,0,58.37547,8.673823,22.0,3.57,2.14,5,113.88,1,-1.094028,0.098499,0.105279,1.337926,0.434287,0.077535,-0.062759,0.033666,0.054862,0.016678,14.000000
