Time, UTC Date, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
110,270426,161120.000,0,58.14428,8.002587,-9.0,0.95,2.37,4,2.49,1,-1.310026,-0.672434,0.002720,0.160291,0.058841,-0.001585,0.002202,0.000200,0.001531,0.000012,17.000000
118,270426,161121.000,0,58.14428,8.002582,-9.9,1.25,2.37,4,354.31,1,-1.288513,-0.663702,0.001565,0.050234,0.051670,-0.000351,0.000274,0.001500,0.001572,0.000010,22.000000
126,270426,161142.000,0,58.14437,8.002527,-2.2,0.0,2.36,4,354.31,1,-1.284513,-0.663383,0.002743,0.024520,0.040485,-0.000544,0.001582,-0.002174,0.001174,0.000007,24.000001
133,270426,161143.000,0,58.14437,8.002527,-2.2,0.0,2.36,4,304.01,1,-1.302790,-0.662852,0.002389,0.043276,0.036059,0.000807,0.001655,-0.001522,0.001216,0.000008,16.000000
141,270426,161144.000,0,58.14437,8.002527,-2.2,0.0,2.36,4,304.01,1,-1.311842,-0.671162,0.002554,0.034198,0.035188,-0.000047,-0.000064,-0.002552,0.001157,0.000009,10.000000
149,270426,161145.000,0,58.14437,8.002527,-2.2,0.0,2.36,4,304.01,1,-1.301432,-0.676137,0.003791,0.064851,0.050758,-0.001431,0.002225,0.002716,0.001470,0.000013,10.000000
157,270426,161206.000,0,58.1444,8.002537,0.3,0.0,2.35,4,13.68,1,-1.312565,-0.692018,0.001577,0.076980,0.050921,0.001273,-0.000120,-0.000924,0.001594,0.000013,16.000000
165,270426,161207.000,0,58.1444,8.002537,0.3,0.0,2.35,4,13.68,1,-1.309539,-0.683296,0.002626,0.039025,0.032580,-0.001382,-0.002128,-0.000676,0.001145,0.000008,17.000000
172,270426,161229.000,0,58.14439,8.002517,1.6,1.11,2.34,4,13.68,1,-1.311549,-0.687444,0.003875,0.053903,0.052944,0.000767,-0.003117,-0.002170,0.001632,0.000012,15.000000
180,270426,161230.000,0,58.14439,8.002512,1.5,1.25,2.33,4,359.06,1,-1.326476,-0.666572,0.001596,0.040888,0.059428,0.000382,0.001444,-0.000562,0.001828,0.000014,14.000000
188,270426,161231.000,0,58.14439,8.002506,1.4,0.0,2.34,4,359.06,1,-1.299353,-0.656640,0.001624,0.060661,0.042945,-0.000324,0.001021,0.001221,0.001495,0.000010,12.000000
196,270426,161252.000,0,58.14439,8.002537,-4.4,1.57,2.33,4,359.06,1,-1.307550,-0.663963,0.004593,0.126899,0.036550,0.000490,-0.002675,0.003702,0.001401,0.000010,10.000000
203,270426,161253.000,0,58.14437,8.002545,-4.6,1.62,2.32,4,359.06,1,-1.267655,-0.670845,0.001238,0.105983,0.040691,0.000523,-0.001109,0.000176,0.001476,0.000012,10.000000
211,270426,161254.000,0,58.14437,8.002548,-4.8,1.54,2.32,4,42.77,1,-1.272051,-0.664641,0.002114,0.098735,0.059732,0.000250,0.001683,0.001256,0.001772,0.000014,20.000000
218,270426,161255.000,0,58.14437,8.002551,-4.9,0.0,2.32,4,83.5,1,-1.292738,-0.665806,0.002466,0.060609,0.059469,-0.000209,-0.000128,-0.002454,0.001689,0.000012,18.000001
226,270426,161316.000,0,58.14434,8.00253,-4.6,0.0,2.31,4,83.5,1,-1.312695,-0.661588,0.002451,0.025994,0.038619,-0.002007,0.000540,0.001299,0.001073,0.000010,8.000000
234,270426,161317.000,0,58.14434,8.00253,-4.6,0.0,2.31,4,334.82,1,-1.282411,-0.672729,0.004926,0.156366,0.041756,0.004649,-0.001601,-0.000297,0.001159,0.000011,12.000000
241,270426,161318.000,0,58.14434,8.00253,-4.6,0.0,2.31,4,334.82,1,-1.261283,-0.677524,0.003171,0.049639,0.052880,0.001051,-0.000549,-0.002941,0.001532,0.000012,16.000000
249,270426,161340.000,0,58.14439,8.002485,-3.1,1.79,2.3,4,334.82,1,-1.239039,-0.672222,0.004553,0.186226,0.054644,-0.000142,-0.004114,0.001948,0.001574,0.000012,16.000000
257,270426,161341.000,0,58.14439,8.002491,-3.2,1.75,2.3,4,8.73,1,-1.268305,-0.676106,0.001763,0.076037,0.055466,-0.000164,0.000340,-0.001722,0.001757,0.000011,18.000001
264,270426,161342.000,0,58.14439,8.002506,-3.0,1.8,2.3,4,45.94,1,-1.286207,-0.672063,0.002004,0.062729,0.054382,0.000000,0.001560,0.001257,0.001695,0.000012,18.000001
278,270426,161404.000,0,58.1444,8.002509,-6.0,2.02,2.29,4,196.25,1,-1.247891,-0.677335,0.002423,0.048564,0.055204,0.000626,-0.001399,0.001877,0.001515,0.000011,23.000000
286,270426,161405.000,0,58.1444,8.002517,-6.1,2.03,2.29,4,57.82,1,-1.262703,-0.681652,0.004394,0.112293,0.057588,0.002180,-0.003296,-0.001922,0.001651,0.000012,22.000000
293,270426,161426.000,0,58.1444,8.002505,-9.2,1.63,2.28,4,78.41001,1,-1.228984,-0.670706,0.000848,0.067019,0.039313,-0.000831,-0.000168,-0.000023,0.001258,0.000008,18.000001
301,270426,161427.000,0,58.1444,8.002506,-9.3,1.46,2.28,4,26.06,1,-1.249854,-0.661723,0.000934,0.033819,0.040432,0.000168,-0.000638,0.000661,0.001317,0.000008,16.000000
308,270426,161428.000,0,58.1444,8.002514,-9.5,1.55,2.28,4,63.54,1,-1.235950,-0.653680,0.004435,0.077688,0.042689,-0.000814,0.003683,0.002333,0.001285,0.000008,20.000000
322,270426,161449.000,0,58.14436,8.002505,-11.0,1.96,2.27,4,45.0,1,-1.222862,-0.650201,0.002742,0.067175,0.039147,0.002220,0.000808,-0.001392,0.001109,0.000008,16.000000
330,270426,161450.000,0,58.14437,8.002501,-11.0,2.2,2.27,4,45.0,1,-1.219343,-0.647026,0.003733,0.053484,0.033142,0.001934,-0.000398,-0.003169,0.001045,0.000007,17.000000
