utc,Label,Speed,HDOP,Satelites,Latitude,Longitude,Altitude,Roll Degrees,Pitch Degrees,Dynamic Magnitude,Jerk,Jerk Std,Acceleration X,Acceleration Y,Acceleration Z,Standard Deviation,Energy,Zero Crossings,session_id,motion_disagreement,motion_mismatch,speed_per_dyn_mag,speed_per_jerk_std
250426_101620.000,1,0.97,1.6,5,58.380371,8.676737,24.200001,-17.944197,1.544546,0.401012,2.656681,1.813494,0.014813,0.400238,0.020023,0.135785,0.087682,12.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.792325,2.412861,0.531946
250426_101621.000,1,0.97,2.06,4,58.380371,8.676736,24.4,-16.368246,1.251054,0.190287,3.343835,2.721299,-0.022302,0.187027,-0.02707,0.134641,0.101412,17.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.370874,5.070916,0.355142
250426_101631.000,1,0.97,2.06,4,58.380409,8.676623,35.299999,-16.602877,1.910096,0.063744,0.563523,2.725443,-0.054207,-0.0163,0.029312,0.115856,0.07839,15.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.117789,14.981984,0.354604
250426_101642.000,1,3.32,1.6,5,58.380482,8.676717,36.599998,-15.708115,4.094683,0.439617,1.431461,2.727874,-0.436732,0.031116,-0.039506,0.119157,0.078874,13.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.846035,7.534882,1.21262
250426_101643.000,1,3.37,1.6,5,58.380489,8.676737,36.400002,-14.230667,6.168374,0.170091,1.730872,2.604672,-0.079896,0.149914,-0.008562,0.097474,0.057377,17.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.306482,19.697145,1.288881
250426_101644.000,1,3.42,1.6,5,58.380489,8.676759,36.299999,-12.61856,6.719697,0.196727,2.189436,1.33918,-0.124513,0.141136,0.057258,0.082939,0.04933,12.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.359254,17.296588,2.534872
250426_101652.000,1,3.86,1.61,5,58.380459,8.676927,36.900002,-11.848189,7.006224,0.051134,0.499978,1.311336,0.023776,0.043038,0.014039,0.087398,0.040355,14.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.063667,74.040509,2.921286
250426_101653.000,1,4.02,1.61,5,58.380459,8.67695,37.099998,-11.53453,6.897439,0.038029,0.248948,1.217964,0.008884,0.027298,0.024942,0.096065,0.033956,12.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.035859,102.999487,3.273712
250426_101654.000,1,3.99,1.61,5,58.38047,8.67697,37.0,-11.092643,4.315499,0.280379,0.475759,1.126881,0.267273,-0.020636,-0.082169,0.080857,0.026957,14.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.520857,14.180181,3.509601
250426_101704.000,1,5.57,1.61,5,58.380539,8.677274,35.5,-9.354337,4.279279,0.113651,0.823855,0.823786,-0.050459,0.100883,-0.013891,0.099139,0.030475,12.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.171601,48.582353,6.68037
250426_101705.000,1,5.6,1.61,5,58.380539,8.677292,35.400002,-8.295449,4.751973,0.076166,0.644672,0.776749,-0.03727,0.065307,0.012134,0.095702,0.026614,10.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.096332,72.570648,7.117895
250426_101727.000,1,4.17,1.61,5,58.380531,8.677835,30.1,-7.863827,5.346862,0.108517,1.250284,0.752342,-0.085893,0.036776,0.05519,0.096788,0.024349,10.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.175334,38.076336,5.469985
250426_101728.000,1,4.21,1.61,5,58.380539,8.677863,29.799999,-6.215989,5.336084,0.134501,1.765654,0.854835,-0.038751,0.126364,0.024919,0.0897,0.028703,14.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.226901,31.069978,4.867982
